L,Density,Seed,UDG Radius,CPLEX TTO,Process TTO,Clock TTO,CPLEX TTS,Process TTS,Clock TTS,Solution
21,0.8,0,1.415,0.023471,0.023935,0.025661,0.025472,0.031149,0.027736,108
21,0.8,1,1.415,0.030158,0.0383,0.032061,0.027933,0.034469,0.029662,109
21,0.8,2,1.415,0.018924,0.025542,0.020785,0.024515,0.026852,0.026351,107
21,0.8,3,1.415,0.018795,0.024076,0.020671,0.017396,0.023265,0.019114,106
21,0.8,4,1.415,0.020289,0.026944,0.022246,0.021392,0.030205,0.023177,107
21,0.8,5,1.415,0.017031,0.021781,0.018931,0.016405,0.021166,0.018199,109
21,0.8,6,1.415,0.072514,0.151563,0.074386,0.107099,0.246151,0.108844,109
21,0.8,7,1.415,0.052478,0.089233,0.054482,0.048264,0.101478,0.050169,106
21,0.8,8,1.415,0.066979,0.136094,0.068887,0.053408,0.133497,0.055196,104
21,0.8,9,1.415,0.02396,0.02643,0.025776,0.017728,0.02211,0.019406,106
21,0.8,10,1.415,0.020893,0.029386,0.022809,0.02513,0.032862,0.026898,107
21,0.8,11,1.415,0.031965,0.073997,0.033924,0.043486,0.096286,0.045267,105
21,0.8,12,1.415,0.021807,0.026722,0.025518,0.044532,0.027058,0.047114,113
21,0.8,13,1.415,0.037002,0.080155,0.038903,0.029509,0.055947,0.031313,106
21,0.8,14,1.415,0.020504,0.026513,0.02247,0.017256,0.025649,0.019051,107
21,0.8,15,1.415,0.080082,0.111683,0.082038,0.078665,0.11481,0.080807,107
21,0.8,16,1.415,0.0179,0.026039,0.019844,0.01767,0.025778,0.019412,105
21,0.8,17,1.415,0.019594,0.02453,0.021506,0.022765,0.026083,0.024497,108
21,0.8,18,1.415,0.01996,0.022117,0.021872,0.016347,0.021294,0.018113,109
21,0.8,19,1.415,0.073608,0.130335,0.075503,0.073745,0.125362,0.075512,106
21,0.8,20,1.415,0.016979,0.02157,0.018855,0.015185,0.020166,0.01699,107
21,0.8,21,1.415,0.017603,0.026428,0.01957,0.01675,0.024933,0.018473,105
21,0.8,22,1.415,0.025851,0.03216,0.029044,0.028888,0.036894,0.030944,105
21,0.8,23,1.415,0.020441,0.029765,0.02233,0.019294,0.027624,0.021027,107
21,0.8,24,1.415,0.020643,0.028719,0.022516,0.03139,0.039524,0.033345,107
21,0.8,25,1.415,0.026788,0.029664,0.028987,0.024394,0.027387,0.026263,108
21,0.8,26,1.415,0.019276,0.02698,0.021252,0.018971,0.025691,0.020922,106
21,0.8,27,1.415,0.018258,0.023608,0.020441,0.024097,0.030675,0.025899,109
21,0.8,28,1.415,0.023275,0.030447,0.02594,0.020366,0.026718,0.022076,110
21,0.8,29,1.415,0.017984,0.024366,0.019861,0.02051,0.030026,0.022444,108
21,0.8,30,1.415,0.051452,0.078042,0.053804,0.040613,0.07344,0.042734,107
21,0.8,31,1.415,0.037662,0.063189,0.039543,0.03933,0.061926,0.041388,107
21,0.8,32,1.415,0.014068,0.018331,0.016016,0.014716,0.017671,0.016554,108
21,0.8,33,1.415,0.019617,0.023973,0.021614,0.015141,0.020118,0.016895,108
21,0.8,34,1.415,0.03384,0.055046,0.035729,0.040231,0.057955,0.042014,107
21,0.8,35,1.415,0.02422,0.027561,0.026821,0.050085,0.041224,0.051904,109
21,0.8,36,1.415,0.037818,0.027343,0.04111,0.026708,0.026398,0.029082,109
21,0.8,37,1.415,0.020158,0.024335,0.022588,0.018615,0.021661,0.020664,107
21,0.8,38,1.415,0.038142,0.039935,0.040517,0.03748,0.026812,0.039663,107
21,0.8,39,1.415,0.014813,0.023827,0.016792,0.014859,0.021992,0.01658,108
21,0.8,40,1.415,0.023539,0.026486,0.025589,0.028564,0.032768,0.03085,108
21,0.8,41,1.415,0.033578,0.069351,0.036096,0.033643,0.062877,0.035491,107
21,0.8,42,1.415,0.016706,0.022039,0.018555,0.018362,0.024275,0.020177,107
21,0.8,43,1.415,0.01894,0.023178,0.020808,0.01968,0.02285,0.021404,110
21,0.8,44,1.415,0.016487,0.022912,0.018351,0.014574,0.022555,0.016315,107
21,0.8,45,1.415,0.018242,0.025101,0.020188,0.017213,0.024298,0.018986,110
21,0.8,46,1.415,0.021423,0.028212,0.023261,0.022979,0.031779,0.024722,108
21,0.8,47,1.415,0.092925,0.159701,0.094882,0.03945,0.089039,0.04118,106
21,0.8,48,1.415,0.022645,0.029679,0.02447,0.027381,0.02711,0.029184,108
21,0.8,49,1.415,0.029857,0.03096,0.032427,0.024886,0.029364,0.027642,108
21,0.8,50,1.415,0.020677,0.029927,0.022574,0.026133,0.030241,0.028577,108
21,0.8,51,1.415,0.019157,0.027002,0.021069,0.018199,0.026919,0.0199,107
21,0.8,52,1.415,0.019024,0.025242,0.020878,0.024492,0.032559,0.026419,107
21,0.8,53,1.415,0.020929,0.027942,0.022859,0.025866,0.029464,0.027682,108
21,0.8,54,1.415,0.016447,0.022407,0.018325,0.017132,0.022043,0.018938,108
21,0.8,55,1.415,0.030746,0.03213,0.033257,0.023284,0.031296,0.025414,109
21,0.8,56,1.415,0.016498,0.021346,0.018362,0.01785,0.021703,0.019675,106
21,0.8,57,1.415,0.018584,0.023004,0.020418,0.020249,0.029038,0.022098,108
21,0.8,58,1.415,0.0147,0.020239,0.016544,0.025952,0.019972,0.027752,110
21,0.8,59,1.415,0.022018,0.026738,0.024007,0.021992,0.032007,0.023887,109
21,0.8,60,1.415,0.018908,0.024291,0.02082,0.02016,0.024133,0.023151,109
21,0.8,61,1.415,0.019689,0.029668,0.021552,0.022435,0.030648,0.024688,104
21,0.8,62,1.415,0.018447,0.026222,0.020359,0.01202,0.018184,0.013783,107
21,0.8,63,1.415,0.015318,0.022964,0.017202,0.015585,0.0222,0.017531,108
21,0.8,64,1.415,0.028429,0.024505,0.030351,0.017915,0.025366,0.019637,108
21,0.8,65,1.415,0.020792,0.027057,0.022988,0.040481,0.036134,0.042437,107
21,0.8,66,1.415,0.020982,0.026703,0.022858,0.024693,0.02982,0.026415,108
21,0.8,67,1.415,0.021528,0.030136,0.02341,0.02162,0.031811,0.023435,107
21,0.8,68,1.415,0.027844,0.036837,0.029883,0.026618,0.034555,0.028579,107
21,0.8,69,1.415,0.016567,0.02443,0.018484,0.021734,0.0265,0.023652,104
21,0.8,70,1.415,0.046431,0.050277,0.048309,0.020172,0.032019,0.021971,108
21,0.8,71,1.415,0.019794,0.027776,0.021666,0.023795,0.030649,0.025541,108
21,0.8,72,1.415,0.050235,0.087896,0.052332,0.049257,0.091568,0.051046,106
21,0.8,73,1.415,0.018293,0.022079,0.020202,0.017784,0.021458,0.019509,109
21,0.8,74,1.415,0.021678,0.025341,0.024078,0.029246,0.034409,0.031671,108
21,0.8,75,1.415,0.017804,0.02577,0.019739,0.019088,0.02791,0.020798,108
21,0.8,76,1.415,0.015966,0.020864,0.017939,0.021576,0.020358,0.023371,107
21,0.8,77,1.415,0.020796,0.025102,0.022701,0.015803,0.022103,0.017514,106
21,0.8,78,1.415,0.017197,0.02151,0.01909,0.015954,0.020386,0.017761,107
21,0.8,79,1.415,0.049712,0.026442,0.060463,0.032322,0.034422,0.03435,107
21,0.8,80,1.415,0.022593,0.029626,0.024507,0.019504,0.026665,0.021333,106
21,0.8,81,1.415,0.016103,0.021972,0.017914,0.015669,0.021499,0.017366,107
21,0.8,82,1.415,0.021108,0.027032,0.023007,0.028978,0.027135,0.03099,109
21,0.8,83,1.415,0.017088,0.020261,0.019019,0.017574,0.020406,0.019381,106
21,0.8,84,1.415,0.017828,0.023245,0.019829,0.024928,0.037674,0.026836,107
21,0.8,85,1.415,0.041441,0.033012,0.044056,0.026984,0.033106,0.028991,109
21,0.8,86,1.415,0.017077,0.023395,0.01904,0.019,0.021973,0.020754,110
21,0.8,87,1.415,0.03978,0.090266,0.04174,0.038999,0.081061,0.040913,106
21,0.8,88,1.415,0.044478,0.084106,0.046784,0.040249,0.07942,0.042049,107
21,0.8,89,1.415,0.02036,0.026062,0.022752,0.017109,0.021769,0.019269,109
21,0.8,90,1.415,0.0198,0.025974,0.022482,0.028276,0.021643,0.030115,110
21,0.8,91,1.415,0.022467,0.028975,0.024378,0.025207,0.03456,0.026955,110
21,0.8,92,1.415,0.019415,0.026393,0.02129,0.018815,0.025567,0.020507,108
21,0.8,93,1.415,0.019001,0.02762,0.020896,0.024791,0.035622,0.026593,107
21,0.8,94,1.415,0.025505,0.034004,0.027385,0.035796,0.032053,0.037608,108
21,0.8,95,1.415,0.031085,0.026968,0.033559,0.023624,0.023132,0.025467,107
21,0.8,96,1.415,0.022465,0.02363,0.024376,0.016597,0.02075,0.018336,108
21,0.8,97,1.415,0.017162,0.021532,0.019111,0.016777,0.020834,0.018539,107
21,0.8,98,1.415,0.019075,0.023066,0.020946,0.020064,0.026265,0.021801,109
21,0.8,99,1.415,0.035081,0.035352,0.037455,0.035788,0.031024,0.03759,108
21,0.8,100,1.415,0.033535,0.031113,0.035684,0.033324,0.036356,0.035341,109
